# Dataset "Data 0" exported from GenX on Thu Jan 17 17:19:11 2019
# Column lables:
# x	I_simulated	I	error(I)
1.036000000000000032e+00 6.573658622331176628e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.040000000000000036e+00 6.498008087287778997e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.044000000000000039e+00 6.156318558109816208e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.048000000000000043e+00 5.599866249491714833e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.052000000000000046e+00 4.889652985658973251e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.056000000000000050e+00 4.090106182274118145e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.060000000000000053e+00 3.263600960864582092e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.064000000000000057e+00 2.465999070439806734e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.068000000000000060e+00 1.743339051456949378e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.072000000000000064e+00 1.129740839423955647e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.076000000000000068e+00 6.465091706831641895e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.080000000000000071e+00 3.023411059464065119e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.084000000000000075e+00 9.447284776353227981e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.088000000000000078e+00 1.054819514491749787e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.092000000000000082e+00 3.096113123533305656e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.096000000000000085e+00 1.314200611303669754e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000089e+00 2.854991779751199239e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.104000000000000092e+00 4.669784581459191517e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.108000000000000096e+00 6.518213872758807630e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.112000000000000099e+00 8.196919967281440268e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.116000000000000103e+00 9.549643125556711099e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.120000000000000107e+00 1.047223541173680425e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.124000000000000110e+00 1.091296532825650418e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.128000000000000114e+00 1.086878017616167529e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.132000000000000117e+00 1.037838619476625724e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.136000000000000121e+00 9.513112262006800804e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.140000000000000124e+00 8.366548062412385283e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.144000000000000128e+00 7.043902746631939323e-04 0.000000000000000000e+00 0.000000000000000000e+00
